composer,piece,piece_url,piece_item_code,movie
"BACH, JOHANN SEBASTIAN","Capriccio on the Departure of his Most Beloved Brother, BWV 992",https://www.naxos.com/catalogue/item.asp?item_code=8.550692,8.550692,Call Me by Your Name (2017)
"BACH, JOHANN SEBASTIAN","Cello Suite No. 1 in G major, BWV 1007",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,Flatliners (2017)
"BACH, JOHANN SEBASTIAN","Cello Suite No. 1 in G major, BWV 1007",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,Killing Box (The) (1993)
"BACH, JOHANN SEBASTIAN","Cello Suite No. 1 in G major, BWV 1007",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,Pianist (The) (2002)
"BACH, JOHANN SEBASTIAN","Cello Suite No. 1 in G major, BWV 1007: I. Prelude",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,Antonia's Line (1995)
"BACH, JOHANN SEBASTIAN","Cello Suite No. 1 in G major, BWV 1007: I. Prelude",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,Beginners (2010)
"BACH, JOHANN SEBASTIAN","Cello Suite No. 1 in G major, BWV 1007: I. Prelude",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,Choice (The) (2016)
"BACH, JOHANN SEBASTIAN","Cello Suite No. 1 in G major, BWV 1007: I. Prelude",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,Elysium (2013)
"BACH, JOHANN SEBASTIAN","Cello Suite No. 1 in G major, BWV 1007: I. Prelude",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,Ex Machina (2015)
"BACH, JOHANN SEBASTIAN","Cello Suite No. 1 in G major, BWV 1007: I. Prelude",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,Hoje Eu Quero Voltar Sozinho (The Way He Looks) (2014)
"BACH, JOHANN SEBASTIAN","Cello Suite No. 1 in G major, BWV 1007: I. Prelude",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,How Not to Disappear Completely (2015)
"BACH, JOHANN SEBASTIAN","Cello Suite No. 1 in G major, BWV 1007: I. Prelude",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,Irrational Man (2015)
"BACH, JOHANN SEBASTIAN","Cello Suite No. 1 in G major, BWV 1007: I. Prelude",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,J'embrasse pas (1991)
"BACH, JOHANN SEBASTIAN","Cello Suite No. 1 in G major, BWV 1007: I. Prelude",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,Maniac (2013)
"BACH, JOHANN SEBASTIAN","Cello Suite No. 1 in G major, BWV 1007: I. Prelude",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,Master and Commander: The Far Side of the World (2003)
"BACH, JOHANN SEBASTIAN","Cello Suite No. 1 in G major, BWV 1007: I. Prelude",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,MI-5 (Spooks: The Greater Good) (2015)
"BACH, JOHANN SEBASTIAN","Cello Suite No. 1 in G major, BWV 1007: I. Prelude",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,
"BACH, JOHANN SEBASTIAN","Cello Suite No. 1 in G major, BWV 1007: I. Prelude",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,Music of the Heart (1999)
"BACH, JOHANN SEBASTIAN","Cello Suite No. 1 in G major, BWV 1007: I. Prelude",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,Riot (2018)
"BACH, JOHANN SEBASTIAN","Cello Suite No. 1 in G major, BWV 1007: I. Prelude",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,Simple Twist of Fate (A) (1994)
"BACH, JOHANN SEBASTIAN","Cello Suite No. 1 in G major, BWV 1007: I. Prelude",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,Still Alice (2014)
"BACH, JOHANN SEBASTIAN","Cello Suite No. 1 in G major, BWV 1007: VI. Gigue",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,Hilary and Jackie (1998)
"BACH, JOHANN SEBASTIAN","Cello Suite No. 2 in D minor, BWV 1008: IV. Sarabande",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,Through a Glass Darkly (1961)
"BACH, JOHANN SEBASTIAN","Cello Suite No. 3 in C major, BWV 1009",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,Brothers Grimsby (The) (2016)
"BACH, JOHANN SEBASTIAN","Cello Suite No. 3 in C major, BWV 1009: I. Prelude",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,Accountant (The) (2016)
"BACH, JOHANN SEBASTIAN","Cello Suite No. 3 in C major, BWV 1009: I. Prelude",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,Hilary and Jackie (1998)
"BACH, JOHANN SEBASTIAN","Cello Suite No. 3 in C major, BWV 1009: II. Allemande",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,Casa Grande (2014)
"BACH, JOHANN SEBASTIAN","Cello Suite No. 3 in C major, BWV 1009: V. Bourree I and II",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,Casa Grande (2014)
"BACH, JOHANN SEBASTIAN","Cello Suite No. 4 in E-flat major, BWV 1010: I. Prelude",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,Late Quartet (A) (2012)
"BACH, JOHANN SEBASTIAN","Cello Suite No. 4 in E-flat major, BWV 1010: II. Allemande",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,Late Quartet (A) (2012)
"BACH, JOHANN SEBASTIAN","Cello Suite No. 4 in E-flat major, BWV 1010: IV. Sarabande",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,Autumn Sonata (1978)
"BACH, JOHANN SEBASTIAN","Cello Suite No. 5 in C minor, BWV 1011: I. Prelude",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,Casa Grande (2014)
"BACH, JOHANN SEBASTIAN","Cello Suite No. 5 in C minor, BWV 1011: I. Prelude",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,Homesick (I) (2015)
"BACH, JOHANN SEBASTIAN","Cello Suite No. 5 in C minor, BWV 1011: IV. Sarabande",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,Cries and Whispers (1972)
"BACH, JOHANN SEBASTIAN","Cello Suite No. 6 in D major, BWV 1012",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,Another Woman (1988)
"BACH, JOHANN SEBASTIAN","Cello Suite No. 6 in D major, BWV 1012: V. Gavotte I and II",https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,8.557280-81,Hilary and Jackie (1998)
"BACH, JOHANN SEBASTIAN","Concerto for 2 Harpsichords in C minor, BWV 1060: II. Largo ovvero adagio",https://www.naxos.com/catalogue/item.asp?item_code=8.554606,8.554606,Barry Lyndon (1975)
"BACH, JOHANN SEBASTIAN","Concerto for 2 Violins in D minor, BWV 1043",https://www.naxos.com/catalogue/item.asp?item_code=8.550194,8.550194,Bad Company (2002)
"BACH, JOHANN SEBASTIAN","Concerto for 2 Violins in D minor, BWV 1043",https://www.naxos.com/catalogue/item.asp?item_code=8.550194,8.550194,Music of the Heart (1999)
"BACH, JOHANN SEBASTIAN","Concerto for 2 Violins in D minor, BWV 1043 : I. Vivace",https://www.naxos.com/catalogue/item.asp?item_code=8.550194,8.550194,Hannah and Her Sisters (1986)
"BACH, JOHANN SEBASTIAN","Concerto for 2 Violins in D minor, BWV 1043 : I. Vivace",https://www.naxos.com/catalogue/item.asp?item_code=8.550194,8.550194,Hellraiser III: Hell on Earth (1992)
"BACH, JOHANN SEBASTIAN","Concerto for 2 Violins in D minor, BWV 1043: II. Largo ma non tanto",https://www.naxos.com/catalogue/item.asp?item_code=8.550194,8.550194,Caveman's Valentine (The) (2001)
"BACH, JOHANN SEBASTIAN","Concerto for 2 Violins in D minor, BWV 1043: II. Largo ma non tanto",https://www.naxos.com/catalogue/item.asp?item_code=8.550194,8.550194,Children of a Lesser God (1986)
"BACH, JOHANN SEBASTIAN","Concerto for 2 Violins in D minor, BWV 1043: II. Largo ma non tanto",https://www.naxos.com/catalogue/item.asp?item_code=8.550194,8.550194,Island of Dr Moreau (The)
"BACH, JOHANN SEBASTIAN","Concerto for 2 Violins in D minor, BWV 1043: II. Largo ma non tanto",https://www.naxos.com/catalogue/item.asp?item_code=8.550194,8.550194,Thor: Ragnarok (2017)
"BACH, JOHANN SEBASTIAN","Concerto for 2 Violins in D minor, BWV 1043: II. Largo ma non tanto",https://www.naxos.com/catalogue/item.asp?item_code=8.550194,8.550194,Torrents of Spring (1989)
"BACH, JOHANN SEBASTIAN","Concerto for 4 Harpsichords in A minor, BWV 1065",https://www.naxos.com/catalogue/item.asp?item_code=8.554606,8.554606,Dangerous Liaisons (1988)
"BACH, JOHANN SEBASTIAN","Concerto in the Italian Style, BWV 971, ""Italian Concerto"": I. Allegro",https://www.naxos.com/catalogue/item.asp?item_code=8.550709,8.550709,Talented Mr Ripley (The) (1999)
"BACH, JOHANN SEBASTIAN","Concerto in the Italian Style, BWV 971, ""Italian Concerto"": III. Presto",https://www.naxos.com/catalogue/item.asp?item_code=8.550709,8.550709,Harvard Man (2001)
"BACH, JOHANN SEBASTIAN","English Suite No. 2 in A minor, BWV 807",https://www.naxos.com/catalogue/item.asp?item_code=8.553012,8.553012,Crimes and Misdemeanours (1989)
"BACH, JOHANN SEBASTIAN","English Suite No. 2 in A minor, BWV 807: I. Prelude",https://www.naxos.com/catalogue/item.asp?item_code=8.553012,8.553012,Glenn Gould (32 Short Films about) (1993)
"BACH, JOHANN SEBASTIAN","English Suite No. 2 in A minor, BWV 807: II. Allemande",https://www.naxos.com/catalogue/item.asp?item_code=8.553012,8.553012,Unbreakable (2000)
"BACH, JOHANN SEBASTIAN","English Suite No. 2 in A minor, BWV 807: V. Bourree I and II",https://www.naxos.com/catalogue/item.asp?item_code=8.553012,8.553012,Schindler's List (1993)
"BACH, JOHANN SEBASTIAN","English Suite No. 2 in A minor, BWV 807: VI. Gigue",https://www.naxos.com/catalogue/item.asp?item_code=8.553012,8.553012,Glenn Gould (32 Short Films about) (1993)
"BACH, JOHANN SEBASTIAN","English Suite No. 5 in E minor, BWV 810: I. Prelude",https://www.naxos.com/catalogue/item.asp?item_code=8.553013,8.553013,Glenn Gould (32 Short Films about) (1993)
"BACH, JOHANN SEBASTIAN","Fantasia in C minor, BWV 562",https://www.naxos.com/catalogue/item.asp?item_code=8.553032,8.553032,Favourite (The) (2018)
"BACH, JOHANN SEBASTIAN","Flute Sonata in C major, BWV 1033: IV. Menuet I and II",https://www.naxos.com/catalogue/item.asp?item_code=8.553755,8.553755,Perdita Durango (1997)
"BACH, JOHANN SEBASTIAN","Flute Sonata in E-flat major, BWV 1031: II. Siciliano",https://www.naxos.com/catalogue/item.asp?item_code=8.553754,8.553754,Breaking the Waves (1996)
"BACH, JOHANN SEBASTIAN","French Suite No. 1 in D minor, BWV 812: III. Sarabande",https://www.naxos.com/catalogue/item.asp?item_code=8.550709,8.550709,Glenn Gould (32 Short Films about) (1993)
"BACH, JOHANN SEBASTIAN","Fugue in C major, BWV 952",https://naxosmusiclibrary.com/catalogue/item.asp?cid=NI5689-90,NI5689-90,Unbreble (2000)
"BACH, JOHANN SEBASTIAN","Fugue in C major, BWV 953",https://www.naxos.com/catalogue/item.asp?item_code=8.553097,8.553097,Unbreakable (2000)
"BACH, JOHANN SEBASTIAN","Goldberg Variations, BWV 988",https://www.naxos.com/catalogue/item.asp?item_code=8.550078,8.550078,Last Castle (The) (2001)
"BACH, JOHANN SEBASTIAN","Goldberg Variations, BWV 988",https://www.naxos.com/catalogue/item.asp?item_code=8.550078,8.550078,Love (II) (2015)
"BACH, JOHANN SEBASTIAN","Goldberg Variations, BWV 988",https://www.naxos.com/catalogue/item.asp?item_code=8.550078,8.550078,Maurice (1987)
"BACH, JOHANN SEBASTIAN","Goldberg Variations, BWV 988",https://www.naxos.com/catalogue/item.asp?item_code=8.550078,8.550078,Murder by Numbers (2002)
"BACH, JOHANN SEBASTIAN","Goldberg Variations, BWV 988",https://www.naxos.com/catalogue/item.asp?item_code=8.550078,8.550078,No Letting Go (2015)
"BACH, JOHANN SEBASTIAN","Goldberg Variations, BWV 988: Aria",https://www.naxos.com/catalogue/item.asp?item_code=8.550078,8.550078,Amant double (L') (Double Lover) (2017)
"BACH, JOHANN SEBASTIAN","Goldberg Variations, BWV 988: Aria",https://www.naxos.com/catalogue/item.asp?item_code=8.550078,8.550078,Before Sunrise (1995)
"BACH, JOHANN SEBASTIAN","Goldberg Variations, BWV 988: Aria",https://www.naxos.com/catalogue/item.asp?item_code=8.550078,8.550078,English Patient (The) (1996)
"BACH, JOHANN SEBASTIAN","Goldberg Variations, BWV 988: Aria",https://www.naxos.com/catalogue/item.asp?item_code=8.550078,8.550078,Hannibal (2001)
"BACH, JOHANN SEBASTIAN","Goldberg Variations, BWV 988: Aria",https://www.naxos.com/catalogue/item.asp?item_code=8.550078,8.550078,Silence of the Lambs (The) (1991)
"BACH, JOHANN SEBASTIAN","Goldberg Variations, BWV 988: Aria and Variation 19",https://www.naxos.com/catalogue/item.asp?item_code=8.550078,8.550078,Glenn Gould (32 Short Films about) (1993)
"BACH, JOHANN SEBASTIAN","Goldberg Variations, BWV 988: Variation 15",https://www.naxos.com/catalogue/item.asp?item_code=8.550078,8.550078,Solaris (2002)
"BACH, JOHANN SEBASTIAN","Goldberg Variations, BWV 988: Variation 15",https://www.naxos.com/catalogue/item.asp?item_code=8.550078,8.550078,Before Sunrise (1995)
"BACH, JOHANN SEBASTIAN","Goldberg Variations, BWV 988: Variation 15",https://www.naxos.com/catalogue/item.asp?item_code=8.550078,8.550078,Hannibal (2001)
"BACH, JOHANN SEBASTIAN","Goldberg Variations, BWV 988: Variation 15",https://www.naxos.com/catalogue/item.asp?item_code=8.550078,8.550078,Terminal Man (The) (1974)
"BACH, JOHANN SEBASTIAN","Goldberg Variations, BWV 988: VIII. Variation 7",https://www.naxos.com/catalogue/item.asp?item_code=8.550078,8.550078,Silence of the Lambs (The) (1991)
"BACH, JOHANN SEBASTIAN","Harpsichord Concerto in D major, BWV 1054",https://www.naxos.com/catalogue/item.asp?item_code=8.550422,8.550422,Love Story (1970)
