composerName,readableComposerName,composerLastName,composerFirstName,musicPiece,itemCode,pieceURL,movieYear,movieTitle
"ARNE, THOMAS AUGUSTINE",Thomas Augustine Arne,Arne, Thomas Augustine,Rule Brittania,8.553961,https://www.naxos.com/catalogue/item.asp?item_code=8.553961,need to find out,"Charge of the Light Brigade, The"
"BACH, CARL PHILIPP EMANUEL",Carl Philipp Emanuel Bach,Bach, Carl Philipp Emanuel,"Keyboard Sonata in E Major, Wq. 48/3, H. 26, ""Prussian Sonata No. 3""",8.572674,https://www.naxos.com/catalogue/item.asp?item_code=8.572674,2015,Casanova 
"BACH, CARL PHILIPP EMANUEL",Carl Philipp Emanuel Bach,Bach, Carl Philipp Emanuel,"Keyboard Sonata in E Major, Wq. 48/3, H. 26, ""Prussian Sonata No. 3""",8.572674,https://www.naxos.com/catalogue/item.asp?item_code=8.572674,2015,Casanova 
"BACH, JOHANN CHRISTIAN",Johann Christian Bach,Bach, Johann Christian,Sinfonia in E-flat major: II. Andante con sordini,8.553085,https://www.naxos.com/catalogue/item.asp?item_code=8.553085,1958,Vertigo 
"BACH, JOHANN CHRISTIAN",Johann Christian Bach,Bach, Johann Christian,Sinfonia in E-flat major: II. Andante con sordini,8.553085,https://www.naxos.com/catalogue/item.asp?item_code=8.553085,1958,Vertigo 
"BACH, JOHANN CHRISTIAN",Johann Christian Bach,Bach, Johann Christian,String Quartet in B-flat major: II. Rondeau,8.557361,https://www.naxos.com/catalogue/item.asp?item_code=8.557361,1994,Only You 
"BACH, JOHANN CHRISTIAN",Johann Christian Bach,Bach, Johann Christian,String Quartet in B-flat major: II. Rondeau,8.557361,https://www.naxos.com/catalogue/item.asp?item_code=8.557361,1994,Only You 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Ich ruf' zu Dir, Herr Jesu Christ (I call on you, Lord Jesus Christ), BWV 639",8.553032,https://www.naxos.com/catalogue/item.asp?item_code=8.553032,1931,Dr Jekyll and Mr Hyde 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Toccata and Fugue in D minor, BWV 565",8.553859,https://www.naxos.com/catalogue/item.asp?item_code=8.553859,1931,Dr Jekyll and Mr Hyde 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Ich ruf' zu Dir, Herr Jesu Christ (I call on you, Lord Jesus Christ), BWV 639",8.553032,https://www.naxos.com/catalogue/item.asp?item_code=8.553032,1931,Dr Jekyll and Mr Hyde 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Toccata and Fugue in D minor, BWV 565",8.553859,https://www.naxos.com/catalogue/item.asp?item_code=8.553859,1931,Dr Jekyll and Mr Hyde 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Toccata and Fugue in D minor, BWV 565",8.553859,https://www.naxos.com/catalogue/item.asp?item_code=8.553859,1940,Fantasia 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Toccata and Fugue in D minor, BWV 565",8.553859,https://www.naxos.com/catalogue/item.asp?item_code=8.553859,1940,Fantasia 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Violin Partita No. 2 in D minor, BWV 1004: V. Ciaconna",8.570277-78,https://www.naxos.com/catalogue/item.asp?item_code=8.570277-78,1946,Beast with Five Fingers 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Violin Partita No. 2 in D minor, BWV 1004: V. Ciaconna",8.570277-78,https://www.naxos.com/catalogue/item.asp?item_code=8.570277-78,1946,Beast with Five Fingers 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Toccata and Fugue in D minor, BWV 565",8.553859,https://www.naxos.com/catalogue/item.asp?item_code=8.553859,1950,Sunset Blvd. 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Toccata and Fugue in D minor, BWV 565",8.553859,https://www.naxos.com/catalogue/item.asp?item_code=8.553859,1950,Sunset Blvd. 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Toccata and Fugue in D minor, BWV 565",8.553859,https://www.naxos.com/catalogue/item.asp?item_code=8.553859,1954,2000 Leagues Under the Sea 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Toccata and Fugue in D minor, BWV 565",8.553859,https://www.naxos.com/catalogue/item.asp?item_code=8.553859,1954,2000 Leagues Under the Sea 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Cello Suite No. 2 in D minor, BWV 1008: IV. Sarabande",8.557280-81,https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,1961,Through a Glass Darkly 
