composerNameFull,pieceName,pieceCode,pieceURL,pieceMovies
"BACH, JOHANN SEBASTIAN","Cantata, BWV 147: Jesus bleibt meine Freude",8.550642,https://www.naxos.com/catalogue/item.asp?item_code=8.550642,<i>Boogie Nights (1997) <br/> Brooklyn (2015) <br/> Brown Sugar (2002) <br/> Crush (2001) <br/> Cutting Edge (The) (1992) <br/> Flubber (1997) <br/> League of Their Own (A) (1992) <br/> Minority Report (2002) <br/> Paradise Road (1997) <br/> Picture Perfect (1997) <br/> Runaway Bride (1999) <br/> Stealing Home (1988)</i>
"BACH, JOHANN SEBASTIAN","Capriccio on the Departure of his Most Beloved Brother, BWV 992",8.550692,https://www.naxos.com/catalogue/item.asp?item_code=8.550692,<i>Call Me by Your Name (2017)</i>
"BACH, JOHANN SEBASTIAN","Cello Suite No. 1 in G major, BWV 1007",8.557280-81,https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,<i>Flatliners (2017) <br/> Killing Box (The) (1993) <br/> Pianist (The) (2002)</i>
"BACH, JOHANN SEBASTIAN","Cello Suite No. 1 in G major, BWV 1007: I. Prelude",8.557280-81,https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,<i>Antonia's Line (1995) <br/> Beginners (2010) <br/> Choice (The) (2016) <br/> Elysium (2013) <br/> Ex Machina (2015) <br/> Hoje Eu Quero Voltar Sozinho (The Way He Looks) (2014) <br/> How Not to Disappear Completely (2015) <br/> Irrational Man (2015) <br/> J'embrasse pas (1991) <br/> Maniac (2013) <br/> Master and Commander: The Far Side of the World (2003) <br/> MI-5 (Spooks: The Greater Good) (2015)  <br/>  Music of the Heart (1999) <br/> Simple Twist of Fate (A) (1994) <br/> Still Alice (2014)</i>
"BACH, JOHANN SEBASTIAN","Cello Suite No. 1 in G major, BWV 1007: VI. Gigue",8.557280-81,https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,<i>Hilary and Jackie (1998)</i>
"BACH, JOHANN SEBASTIAN","Cello Suite No. 2 in D minor, BWV 1008: IV. Sarabande",8.557280-81,https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,<i>Through a Glass Darkly (1961)</i>
"BACH, JOHANN SEBASTIAN","Cello Suite No. 3 in C major, BWV 1009",8.557280-81,https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,<i>Brothers Grimsby (The) (2016)</i>
"BACH, JOHANN SEBASTIAN","Cello Suite No. 3 in C major, BWV 1009: I. Prelude",8.557280-81,https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,<i>Accountant (The) (2016) <br/> Hilary and Jackie (1998)</i>
"BACH, JOHANN SEBASTIAN","Cello Suite No. 3 in C major, BWV 1009: II. Allemande",8.557280-81,https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,<i>Casa Grande (2014)</i>
"BACH, JOHANN SEBASTIAN","Cello Suite No. 3 in C major, BWV 1009: V. Bourree I and II",8.557280-81,https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,<i>Casa Grande (2014)</i>
"BACH, JOHANN SEBASTIAN","Cello Suite No. 4 in E-flat major, BWV 1010: I. Prelude",8.557280-81,https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,<i>Late Quartet (A) (2012)</i>
"BACH, JOHANN SEBASTIAN","Cello Suite No. 4 in E-flat major, BWV 1010: II. Allemande",8.557280-81,https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,<i>Late Quartet (A) (2012)</i>
